iter	Passed	Remaining
0	143	143153
1	145	72605
2	147	48969
3	148	37010
4	150	29969
5	152	25305
6	154	21906
7	156	19380
8	158	17480
9	160	15913
10	162	14654
11	165	13633
12	168	12767
13	170	12035
14	173	11365
15	175	10800
16	177	10282
17	180	9836
18	182	9427
19	184	9062
20	187	8733
21	189	8418
22	191	8137
23	193	7880
24	196	7648
25	198	7427
26	200	7220
27	202	7033
28	204	6858
29	206	6686
30	208	6518
31	210	6376
32	212	6228
33	214	6090
34	217	5986
35	218	5860
36	220	5732
37	221	5615
38	224	5521
39	226	5428
40	227	5327
41	229	5231
42	231	5144
43	233	5063
44	235	4994
45	237	4919
46	238	4845
47	240	4762
48	241	4691
49	243	4628
50	245	4566
51	247	4506
52	249	4455
53	251	4400
54	252	4343
55	254	4285
56	255	4232
57	257	4185
58	259	4134
59	260	4088
60	262	4047
61	264	4006
62	266	3967
63	268	3928
64	270	3893
65	272	3856
66	274	3820
67	275	3781
68	276	3734
69	278	3703
70	279	3662
71	281	3628
72	283	3596
73	284	3565
74	286	3536
75	288	3509
76	290	3479
77	291	3449
78	293	3421
79	295	3397
80	296	3360
81	297	3333
82	299	3305
83	300	3277
84	302	3254
85	303	3230
86	305	3207
87	307	3186
88	309	3164
89	310	3141
90	312	3118
91	313	3095
92	315	3074
93	316	3055
94	317	3028
95	319	3007
96	321	2989
97	322	2969
98	324	2949
99	325	2933
100	327	2913
101	328	2895
102	330	2876
103	332	2860
104	333	2842
105	335	2827
106	336	2810
107	338	2792
108	339	2776
109	340	2758
110	342	2743
111	343	2727
112	344	2703
113	345	2688
114	347	2673
115	348	2659
116	351	2651
117	353	2640
118	355	2632
119	357	2622
120	359	2608
121	360	2597
122	363	2588
123	365	2582
124	367	2573
125	369	2565
126	371	2553
127	372	2539
128	374	2526
129	375	2513
130	377	2503
131	379	2493
132	380	2481
133	382	2469
134	383	2456
135	385	2445
136	386	2434
137	387	2422
138	389	2412
139	391	2402
140	393	2396
141	394	2386
142	396	2377
143	398	2367
144	400	2359
145	401	2350
146	403	2341
147	405	2332
148	406	2323
149	408	2316
150	410	2307
151	412	2299
152	413	2290
153	415	2282
154	417	2275
155	419	2268
156	420	2260
157	423	2255
158	424	2247
159	426	2240
160	428	2232
161	429	2224
162	431	2216
163	433	2209
164	435	2202
165	437	2195
166	438	2188
167	440	2181
168	442	2173
169	443	2166
170	445	2161
171	447	2154
172	449	2147
173	451	2142
174	452	2135
175	454	2128
176	456	2120
177	457	2114
178	459	2107
179	461	2101
180	463	2095
181	464	2088
182	466	2082
183	468	2075
184	469	2069
185	471	2063
186	473	2057
187	474	2050
188	476	2044
189	478	2038
190	479	2032
191	481	2026
192	483	2022
193	485	2017
194	487	2013
195	489	2008
196	491	2002
197	493	1997
198	495	1993
199	498	1993
200	500	1989
201	503	1988
202	505	1985
203	508	1983
204	511	1981
205	513	1979
206	516	1977
207	517	1971
208	520	1969
209	522	1965
210	524	1961
211	526	1955
212	528	1951
213	530	1946
214	531	1941
215	533	1935
216	535	1933
217	537	1929
218	540	1928
219	543	1928
220	546	1927
221	549	1926
222	552	1925
223	556	1926
