iter	Passed	Remaining
0	133	133437
1	137	68539
2	139	46417
3	143	35845
4	146	29124
5	149	24720
6	151	21529
7	154	19181
8	157	17328
9	159	15756
10	162	14609
11	164	13548
12	166	12635
13	168	11883
14	170	11192
15	172	10610
16	174	10118
17	176	9620
18	177	9182
19	179	8803
20	182	8486
21	184	8205
22	187	7971
23	190	7735
24	191	7476
25	193	7244
26	197	7105
27	199	6918
28	201	6732
29	205	6639
30	207	6484
31	209	6332
32	212	6216
33	213	6072
34	215	5930
35	216	5805
36	219	5719
37	221	5617
38	223	5514
39	227	5449
40	229	5368
41	232	5293
42	234	5210
43	235	5127
44	238	5056
45	239	4970
46	241	4887
47	242	4809
48	245	4774
49	248	4714
50	249	4646
51	253	4617
52	254	4551
53	256	4484
54	257	4422
55	260	4391
56	262	4344
57	263	4283
58	265	4230
59	266	4182
60	268	4137
61	270	4086
62	271	4033
63	272	3986
64	275	3963
65	277	3929
66	279	3889
67	281	3853
68	283	3823
69	285	3799
70	288	3770
71	290	3745
72	292	3708
73	293	3677
74	295	3642
75	298	3630
76	300	3608
77	302	3575
78	305	3560
79	307	3537
80	308	3505
81	310	3479
82	312	3454
83	315	3436
84	330	3553
85	332	3535
86	337	3545
87	340	3524
88	345	3538
89	348	3519
90	352	3525
91	354	3497
92	358	3494
93	359	3469
94	361	3444
95	363	3423
96	370	3452
97	372	3426
98	376	3422
99	377	3398
100	379	3380
101	383	3380
102	385	3359
103	387	3339
104	389	3323
105	391	3299
106	392	3279
107	394	3256
108	396	3244
109	398	3225
110	400	3206
111	402	3189
112	406	3191
113	409	3179
114	412	3178
115	415	3163
116	416	3144
117	418	3126
118	420	3114
119	422	3100
120	424	3082
121	425	3064
122	428	3051
123	429	3036
124	431	3017
125	432	2999
126	434	2988
127	436	2973
128	437	2956
129	439	2940
130	440	2924
131	443	2913
132	444	2900
133	446	2883
134	447	2868
135	449	2857
136	451	2842
137	452	2827
138	453	2812
139	456	2803
140	457	2789
141	458	2771
142	460	2757
143	461	2742
144	463	2733
145	465	2720
146	466	2708
147	469	2701
148	474	2707
149	475	2694
150	476	2681
151	480	2678
152	481	2666
153	483	2653
154	484	2642
155	487	2636
156	489	2628
157	490	2616
158	494	2615
159	496	2604
160	496	2589
161	498	2578
162	501	2573
163	502	2563
164	504	2552
165	505	2542
166	509	2543
167	511	2532
168	513	2524
169	515	2515
170	517	2507
171	519	2499
172	520	2488
173	524	2489
174	526	2480
175	527	2471
176	529	2462
177	532	2458
178	534	2449
179	535	2441
180	539	2442
181	541	2435
182	543	2425
183	545	2417
184	547	2410
185	548	2401
186	550	2393
187	552	2385
188	555	2383
189	556	2373
190	558	2363
191	559	2354
192	562	2351
193	563	2342
194	565	2336
195	568	2332
196	570	2325
197	572	2317
198	573	2309
199	576	2307
200	578	2301
201	580	2292
202	581	2283
203	584	2281
204	587	2277
205	588	2268
206	590	2260
207	592	2257
208	594	2248
209	595	2240
210	600	2245
211	602	2238
212	604	2232
213	606	2228
214	608	2221
215	609	2213
216	610	2204
217	613	2201
218	615	2196
219	617	2187
220	618	2178
221	619	2171
222	622	2167
223	623	2160
224	624	2152
225	626	2145
226	629	2144
227	631	2136
228	632	2128
229	633	2120
230	636	2118
231	638	2113
232	640	2107
233	641	2101
234	645	2100
235	647	2095
236	649	2089
237	651	2086
238	653	2079
239	654	2073
240	657	2069
241	660	2067
242	661	2062
243	663	2055
244	666	2054
245	668	2048
246	669	2041
247	673	2042
248	675	2037
249	676	2030
250	678	2023
251	681	2023
252	683	2017
253	685	2012
254	687	2008
255	689	2003
256	690	1997
257	692	1991
258	695	1988
259	696	1983
260	698	1978
261	700	1972
262	702	1969
263	704	1964
264	706	1958
265	707	1951
266	709	1947
267	712	1945
268	714	1941
269	715	1935
270	718	1932
271	720	1928
272	722	1923
273	724	1920
274	726	1915
275	728	1911
276	730	1906
277	732	1903
278	734	1897
279	735	1891
280	736	1884
281	737	1878
282	739	1873
283	740	1867
284	742	1862
285	743	1856
286	744	1850
287	747	1849
288	749	1845
289	751	1839
290	752	1834
291	756	1834
292	758	1830
293	760	1826
294	764	1826
295	766	1821
296	768	1818
297	770	1815
298	773	1812
299	774	1806
300	775	1801
301	779	1802
302	781	1798
303	783	1793
304	785	1791
305	787	1787
306	789	1782
307	791	1778
308	794	1775
309	795	1769
310	796	1764
311	797	1758
312	798	1752
313	802	1752
314	803	1747
315	804	1742
316	806	1737
317	809	1735
318	810	1731
319	812	1726
320	813	1721
321	816	1718
322	818	1714
323	819	1709
324	820	1704
325	823	1702
326	825	1699
327	827	1695
328	829	1690
329	831	1688
330	833	1684
331	834	1678
332	835	1673
333	836	1668
334	839	1667
335	841	1663
336	842	1658
337	844	1653
338	847	1652
339	849	1648
340	850	1643
341	851	1638
342	855	1638
343	857	1635
344	859	1631
345	862	1630
346	864	1626
347	866	1623
348	869	1622
349	870	1617
350	871	1612
351	873	1607
352	874	1602
353	876	1599
354	878	1596
355	880	1592
356	881	1588
357	884	1586
358	886	1582
359	887	1577
360	888	1572
361	889	1568
362	892	1566
363	894	1563
364	896	1558
365	898	1555
366	900	1553
367	902	1549
368	903	1545
369	905	1542
370	907	1539
371	908	1534
372	910	1530
373	912	1526
374	914	1524
375	915	1520
376	917	1516
377	919	1512
378	921	1510
379	923	1507
380	925	1503
381	927	1500
382	930	1498
383	931	1494
384	933	1490
385	934	1486
386	937	1485
387	939	1481
388	940	1477
389	942	1473
390	945	1472
391	947	1469
392	948	1465
393	951	1464
394	953	1460
395	955	1457
396	956	1453
397	960	1452
398	962	1449
399	963	1445
400	964	1441
401	967	1439
402	969	1435
403	970	1432
404	972	1428
405	975	1426
406	976	1423
407	978	1419
408	979	1415
409	982	1413
410	983	1409
411	984	1405
412	986	1401
413	988	1399
414	991	1397
415	992	1393
416	994	1390
417	998	1390
418	1000	1387
419	1002	1384
420	1005	1382
421	1007	1380
422	1009	1377
423	1012	1375
424	1014	1372
425	1015	1368
426	1017	1365
427	1022	1365
428	1024	1363
429	1026	1360
430	1028	1358
431	1030	1355
432	1032	1351
433	1036	1351
434	1038	1348
435	1040	1346
436	1044	1345
437	1046	1342
438	1050	1341
439	1052	1339
440	1054	1336
441	1058	1335
442	1060	1333
443	1066	1335
444	1068	1332
445	1072	1332
446	1075	1330
447	1077	1327
448	1081	1327
449	1084	1324
450	1087	1324
451	1090	1322
452	1093	1320
453	1096	1318
454	1098	1316
455	1102	1315
456	1105	1313
457	1107	1310
458	1110	1308
459	1112	1306
460	1113	1302
461	1115	1299
462	1119	1298
463	1122	1296
464	1124	1293
465	1126	1290
466	1127	1287
467	1129	1283
468	1131	1280
469	1134	1279
470	1135	1275
471	1137	1272
472	1139	1269
473	1142	1267
474	1144	1264
475	1146	1261
476	1149	1259
477	1151	1257
478	1153	1255
479	1156	1252
480	1158	1249
481	1160	1247
482	1163	1245
483	1166	1243
484	1168	1240
485	1170	1238
486	1173	1235
487	1175	1232
488	1177	1229
489	1180	1228
490	1182	1225
491	1184	1223
492	1187	1221
493	1189	1218
494	1191	1215
495	1193	1212
496	1195	1209
497	1197	1206
498	1199	1204
499	1202	1202
500	1204	1199
501	1206	1196
502	1209	1195
503	1211	1192
504	1214	1190
505	1216	1187
506	1218	1184
507	1220	1181
508	1223	1179
509	1225	1177
510	1227	1174
511	1228	1171
512	1231	1169
513	1233	1166
514	1235	1163
515	1240	1163
516	1242	1160
517	1244	1157
518	1248	1156
519	1249	1153
520	1251	1150
521	1253	1148
522	1255	1145
523	1257	1142
524	1259	1139
525	1261	1136
526	1263	1134
527	1265	1131
528	1268	1129
529	1270	1126
530	1272	1123
531	1274	1121
532	1276	1118
533	1278	1115
534	1281	1113
535	1283	1111
536	1285	1108
537	1287	1105
538	1290	1103
539	1291	1100
540	1294	1098
541	1298	1097
542	1300	1094
543	1302	1091
544	1308	1092
545	1312	1091
546	1314	1088
547	1316	1085
548	1317	1082
549	1321	1081
550	1324	1078
551	1325	1076
552	1329	1074
553	1331	1071
554	1333	1068
555	1335	1066
556	1337	1063
557	1339	1061
558	1340	1057
559	1344	1056
560	1345	1053
561	1347	1050
562	1350	1048
563	1352	1045
564	1354	1042
565	1356	1040
566	1359	1038
567	1361	1035
568	1363	1032
569	1366	1030
570	1367	1027
571	1368	1024
572	1371	1022
573	1374	1020
574	1376	1017
575	1380	1016
576	1382	1013
577	1385	1011
578	1387	1009
579	1389	1006
580	1391	1003
581	1395	1002
582	1397	999
583	1398	996
584	1402	994
585	1403	991
586	1405	988
587	1407	986
588	1409	983
589	1411	980
590	1413	977
591	1415	975
592	1417	972
593	1419	970
594	1421	967
595	1425	966
596	1428	964
597	1434	964
598	1436	961
599	1441	961
600	1444	958
601	1449	958
602	1452	955
603	1454	953
604	1457	951
605	1461	950
606	1479	957
607	1481	955
608	1486	954
609	1488	951
610	1490	948
611	1491	945
612	1494	943
613	1496	940
614	1498	938
615	1502	936
616	1504	934
617	1507	931
618	1510	929
619	1512	927
620	1515	925
621	1517	922
622	1519	919
623	1520	916
624	1524	914
625	1526	911
626	1527	908
627	1531	907
628	1533	904
629	1535	901
630	1538	899
631	1541	897
632	1542	894
633	1545	892
634	1547	889
635	1549	886
636	1551	883
637	1554	882
638	1556	879
639	1557	876
640	1558	873
641	1562	871
642	1563	868
643	1565	865
644	1566	862
645	1569	860
646	1571	857
647	1572	854
648	1576	852
649	1578	850
650	1580	847
651	1583	844
652	1584	842
653	1586	839
654	1587	836
655	1588	833
656	1593	831
657	1594	828
658	1596	826
659	1600	824
660	1602	821
661	1604	819
662	1608	817
663	1610	814
664	1611	812
665	1615	810
666	1617	807
667	1619	805
668	1622	802
669	1624	800
670	1626	797
671	1628	794
672	1631	792
673	1633	790
674	1636	787
675	1638	785
676	1639	782
677	1640	779
678	1643	776
679	1645	774
680	1647	771
681	1649	769
682	1651	766
683	1653	764
684	1655	761
685	1656	758
686	1659	756
687	1662	753
688	1664	751
689	1668	749
690	1671	747
691	1673	744
692	1675	742
693	1677	739
694	1678	736
695	1682	734
696	1684	732
697	1685	729
698	1687	726
699	1690	724
700	1693	722
701	1694	719
702	1697	717
703	1699	714
704	1701	711
705	1703	709
706	1706	707
707	1708	704
708	1710	702
709	1713	699
710	1715	697
711	1718	695
712	1721	692
713	1722	690
714	1726	688
715	1728	685
716	1730	683
717	1734	681
718	1735	678
719	1737	675
720	1741	673
721	1743	671
722	1745	668
723	1748	666
724	1750	663
725	1751	661
726	1752	658
727	1753	655
728	1755	652
729	1758	650
730	1759	647
731	1761	644
732	1763	642
733	1766	640
734	1768	637
735	1771	635
736	1773	632
737	1775	630
738	1777	627
739	1780	625
740	1782	622
741	1783	620
742	1787	618
743	1789	615
744	1791	613
745	1796	611
746	1797	608
747	1799	606
748	1802	604
749	1804	601
750	1805	598
751	1808	596
752	1811	594
753	1813	591
754	1817	589
755	1819	587
756	1821	584
757	1825	582
758	1827	580
759	1828	577
760	1834	576
761	1836	573
762	1839	571
763	1840	568
764	1842	566
765	1844	563
766	1847	561
767	1848	558
768	1849	555
769	1851	552
770	1852	550
771	1855	547
772	1856	545
773	1858	542
774	1860	540
775	1863	537
776	1865	535
777	1866	532
778	1871	530
779	1872	528
780	1873	525
781	1874	522
782	1877	520
783	1879	517
784	1880	515
785	1882	512
786	1885	510
787	1886	507
788	1888	504
789	1889	502
790	1893	500
791	1894	497
792	1895	494
793	1897	492
794	1901	490
795	1902	487
796	1904	485
797	1906	482
798	1907	479
799	1909	477
800	1911	474
801	1916	473
802	1917	470
803	1919	467
804	1922	465
805	1924	463
806	1925	460
807	1929	458
808	1931	456
809	1932	453
810	1933	450
811	1935	448
812	1938	445
813	1939	443
814	1941	440
815	1942	438
816	1944	435
817	1946	433
818	1947	430
819	1948	427
820	1950	425
821	1953	422
822	1954	420
823	1955	417
824	1956	415
825	1960	413
826	1962	410
827	1964	408
828	1968	405
829	1969	403
830	1970	400
831	1972	398
832	1975	396
833	1977	393
834	1979	391
835	1981	388
836	1985	386
837	1987	384
838	1990	382
839	1992	379
840	1994	377
841	1996	374
842	1997	372
843	1999	369
844	2000	366
845	2004	364
846	2005	362
847	2006	359
848	2008	357
849	2010	354
850	2012	352
851	2014	349
852	2016	347
853	2020	345
854	2021	342
855	2023	340
856	2027	338
857	2029	335
858	2031	333
859	2034	331
860	2036	328
861	2038	326
862	2042	324
863	2043	321
864	2044	319
865	2047	316
866	2050	314
867	2052	312
868	2054	309
869	2055	307
870	2058	304
871	2059	302
872	2061	299
873	2062	297
874	2065	295
875	2066	292
876	2067	289
877	2069	287
878	2071	285
879	2073	282
880	2075	280
881	2077	277
882	2087	276
883	2090	274
884	2091	271
885	2093	269
886	2097	267
887	2099	264
888	2100	262
889	2103	259
890	2105	257
891	2107	255
892	2109	252
893	2128	252
894	2130	249
895	2133	247
896	2135	245
897	2137	242
898	2139	240
899	2141	237
900	2144	235
901	2146	233
902	2148	230
903	2151	228
904	2153	226
905	2154	223
906	2157	221
907	2159	218
908	2161	216
909	2164	214
910	2167	211
911	2169	209
912	2173	207
913	2176	204
914	2179	202
915	2181	200
916	2183	197
917	2184	195
918	2187	192
919	2189	190
920	2191	187
921	2193	185
922	2196	183
923	2199	180
924	2202	178
925	2204	176
926	2206	173
927	2208	171
928	2210	168
929	2213	166
930	2214	164
931	2216	161
932	2218	159
933	2219	156
934	2221	154
935	2222	151
936	2225	149
937	2227	147
938	2228	144
939	2231	142
940	2233	140
941	2234	137
942	2236	135
943	2238	132
944	2240	130
945	2241	127
946	2243	125
947	2245	123
948	2247	120
949	2249	118
950	2253	116
951	2254	113
952	2256	111
953	2258	108
954	2261	106
955	2263	104
956	2264	101
957	2268	99
958	2270	97
959	2272	94
960	2277	92
961	2280	90
962	2283	87
963	2286	85
964	2288	82
965	2294	80
966	2296	78
967	2300	76
968	2301	73
969	2303	71
970	2306	68
971	2308	66
972	2310	64
973	2313	61
974	2315	59
975	2316	56
976	2318	54
977	2323	52
978	2325	49
979	2329	47
980	2331	45
981	2333	42
982	2338	40
983	2340	38
984	2341	35
985	2345	33
986	2348	30
987	2352	28
988	2354	26
989	2357	23
990	2363	21
991	2365	19
992	2368	16
993	2370	14
994	2375	11
995	2377	9
996	2378	7
997	2379	4
998	2385	2
999	2386	0
